Name,Salary,Age,GP,GS,MIN,FG%,3P%,FT%,OR,DR,AST,STL,BLK,TO,PF,PTS,Position,SalaryCap
Udonis Haslem,4340000,33,46,18,653,0.507,0,0.568,42,133,13,11,15,24,79,173,PF,58679000
Greg Oden,1027424,26,23,6,212,0.551,0,0.565,23,31,1,7,13,12,52,67,C,58679000
Khris Middleton,788872,22,82,64,2460,0.44,0.414,0.861,60,250,169,83,20,123,243,990,SF,58679000
Brandon Knight,2793960,22,72,69,2400,0.422,0.325,0.802,46,209,352,69,17,188,146,1291,PG,58679000
Giannis Antetokounmpo,1792560,19,77,23,1897,0.414,0.347,0.683,78,261,150,60,61,122,173,525,SF,58679000
John Henson,1905360,23,70,23,1856,0.538,0,0.514,171,326,113,41,116,114,185,779,PF,58679000
Ersan Ilyasova,7900000,26,55,47,1478,0.409,0.282,0.823,107,235,72,46,8,61,135,618,PF,58679000
O.J. Mayo,8000000,26,52,23,1346,0.407,0.37,0.864,24,100,113,28,13,95,111,608,SG,58679000
Zaza Pachulia,5200000,29,53,43,1325,0.427,0,0.846,141,192,136,45,14,92,124,408,C,58679000
Ekpe Udoh,4469548,26,42,14,804,0.399,0,0.638,61,87,31,15,44,38,96,144,PF,58679000
Luke Ridnour,4320000,32,36,12,763,0.384,0.368,0.684,15,47,122,23,2,46,55,206,PG,58679000
Gary Neal,3250000,29,30,2,607,0.39,0.36,0.833,8,42,46,7,0,39,26,301,SG,58679000
Larry Sanders,3053368,25,23,20,584,0.469,0,0.473,60,105,19,18,40,26,74,178,C,58679000
Joakim Noah,11100000,28,80,80,2820,0.475,0,0.737,282,618,431,99,121,194,245,1007,C,58679000
Jimmy Butler,1112880,24,67,67,2591,0.397,0.283,0.769,87,243,175,127,36,102,106,878,SG,58679000
Mike Dunleavy,3183000,33,82,61,2584,0.43,0.38,0.854,46,299,186,64,46,108,163,929,SF,58679000
Taj Gibson,7550000,28,82,8,2351,0.479,0,0.751,200,358,91,41,112,150,207,1069,PF,58679000
Carlos Boozer,15300000,32,76,76,2141,0.456,0,0.767,137,495,118,53,22,154,216,1042,PF,58679000
Kirk Hinrich,4059000,33,73,61,2116,0.393,0.351,0.76,31,161,286,80,26,120,203,666,PG,58679000
Tony Snell,1409040,22,77,12,1231,0.384,0.32,0.756,19,105,68,29,15,44,84,346,SG,58679000
Luol Deng,14275000,28,23,23,860,0.452,0.274,0.815,40,118,85,24,4,59,53,438,SF,58679000
Nazr Mohammed,1399507,36,80,1,562,0.429,0,0.533,66,109,20,14,30,37,77,124,C,58679000
Derrick Rose,17632688,25,10,10,311,0.354,0.34,0.844,9,23,43,5,1,34,15,159,PG,58679000
Marquis Teague,1074720,20,19,2,242,0.242,0.2,0.688,1,18,28,2,4,17,25,45,SG,58679000
Josh Smith,13500000,28,77,76,2730,0.419,0.264,0.532,102,418,252,105,110,199,197,1264,SF,58679000
Brandon Jennings,7655503,24,80,79,2728,0.373,0.337,0.751,59,185,609,101,8,215,157,1241,PG,58679000
Greg Monroe,4086454,23,82,82,2690,0.497,0,0.657,256,504,171,91,47,166,205,1249,PF,58679000
Andre Drummond,2462400,20,81,81,2619,0.623,0,0.418,440,631,35,101,131,110,273,1095,C,58679000
